split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,2,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,349,380,31,0,29.38134195752968,39.79458169106505,24.34596403530683,22.00825966513105,-2.5126839601755067
validation,2,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,356,394,38,0,29.267461501080984,39.535885684902006,25.391551824440416,20.17390418491845,-5.540056679719706
validation,2,naive,1,freeze_20260610_192142,baselines_full_20260718,330,380,31,33,48.67272727272727,65.9898522960963,38.39155138049592,36.171602297038625,3.5757575757575757
validation,2,naive,3,freeze_20260610_192142,baselines_full_20260718,336,394,38,40,52.11309523809524,72.19904695321387,40.220981690566795,34.65199580455562,0.02976190476190476
validation,2,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,335,380,31,27,57.37313432835821,75.74001091715886,47.13929031557919,42.93820651445422,11.850746268656716
validation,2,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,339,394,38,36,62.176991150442475,81.30328522753899,49.16269349744674,42.81796575050277,13.616519174041297
validation,2,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,330,380,31,32,46.93333333333333,62.00298135549368,37.97249429296776,33.82988947621336,3.1454545454545455
validation,2,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,336,394,38,34,46.892857142857146,65.26365939859056,37.339002474913855,31.08489356245191,5.517857142857143
validation,20,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,338,387,49,0,38.59869354678171,48.539515227768895,33.20733868891029,34.13311291615357,29.622169967910445
validation,20,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,354,398,44,0,33.48051349838033,44.10247078089784,27.934393700110782,25.054119516396728,21.5027104009014
validation,20,naive,1,freeze_20260610_192142,baselines_full_20260718,310,387,49,52,48.512903225806454,63.534521985067045,42.00037419466462,41.54419889502762,2.706451612903226
validation,20,naive,3,freeze_20260610_192142,baselines_full_20260718,326,398,44,46,50.42944785276074,64.95047665089082,40.05200636676972,35.65387117761874,0.7055214723926381
validation,20,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,299,387,49,51,45.45484949832776,59.101720600388795,43.026360133503495,40.14710660798157,4.752508361204013
validation,20,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,316,398,44,46,51.05696202531646,69.24475029226386,44.587579613274364,37.81997187060478,4.531645569620253
validation,20,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,321,387,49,42,40.953271028037385,53.16939367414314,35.07439866898479,34.91540729329898,6.161993769470405
validation,20,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,333,398,44,42,40.8948948948949,52.38154088823491,32.27212694381645,29.18872575286679,7.375375375375375
validation,21,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,345,386,41,0,35.29648452482985,43.370028846497405,32.03552341111933,31.594850192170355,28.268473893944744
validation,21,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,347,398,51,0,37.81479595697063,50.32741249033713,30.001059367388333,28.440188558387465,23.32117791938193
validation,21,naive,1,freeze_20260610_192142,baselines_full_20260718,321,386,41,42,43.66355140186916,56.49718102856509,40.431874385687415,38.22302217131637,3.202492211838006
