split,model,hora_del_dia,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,seasonal_naive_weekly,14,freeze_20260610_192142,baselines_full_20260718,211,280,41,37,52.67298578199052,67.99038125446836,50.55465656263777,48.69435681738521,4.37914691943128
test_final,seasonal_naive_weekly,15,freeze_20260610_192142,baselines_full_20260718,200,279,48,46,51.785,65.55589218369315,47.77563914091499,44.39919406696104,4.745
test_final,seasonal_naive_weekly,16,freeze_20260610_192142,baselines_full_20260718,167,281,77,74,36.78443113772455,47.216598624093436,42.64626154721087,40.49439683586025,0.5209580838323353
test_final,seasonal_naive_weekly,17,freeze_20260610_192142,baselines_full_20260718,52,250,161,157,22.48076923076923,29.16893764052649,46.77787575951218,45.41569541569542,2.5576923076923075
test_final,seasonal_naive_weekly,18,freeze_20260610_192142,baselines_full_20260718,0,100,97,97,,,,,
validation,historical_average_route_day_type_slot,4,freeze_20260610_192142,baselines_full_20260718,1254,1424,170,0,30.599005307683484,42.069395755686514,24.766199429546496,26.70858286291474,8.636328071811205
validation,historical_average_route_day_type_slot,5,freeze_20260610_192142,baselines_full_20260718,1836,2128,292,0,47.58859494751849,60.753645901415425,27.41412956397445,25.521368514665927,17.190406825248743
validation,historical_average_route_day_type_slot,6,freeze_20260610_192142,baselines_full_20260718,1867,2128,261,0,41.31619862840934,53.66305149959155,23.747751443595725,21.725585430693513,24.75532379715694
validation,historical_average_route_day_type_slot,7,freeze_20260610_192142,baselines_full_20260718,2060,2128,68,0,31.400928762203904,40.44602650943749,25.32338574503096,23.018914939625372,14.438231800836872
validation,historical_average_route_day_type_slot,8,freeze_20260610_192142,baselines_full_20260718,2074,2128,54,0,32.91210354483134,42.388917993450214,27.399957027986837,25.555860259071583,18.700435929979704
validation,historical_average_route_day_type_slot,9,freeze_20260610_192142,baselines_full_20260718,2051,2128,77,0,28.730557630714014,36.88850948946863,26.294766583137747,24.28551504310684,13.696522984102115
validation,historical_average_route_day_type_slot,10,freeze_20260610_192142,baselines_full_20260718,2067,2128,61,0,26.965113441854207,34.763108565525336,27.78752669542943,25.853548444160662,12.988938580988503
validation,historical_average_route_day_type_slot,11,freeze_20260610_192142,baselines_full_20260718,2031,2128,97,0,26.794634294036815,34.54417764890544,27.89979286869672,26.208649665137795,10.030577356167623
validation,historical_average_route_day_type_slot,12,freeze_20260610_192142,baselines_full_20260718,2014,2128,114,0,31.645481253796998,41.114360301155834,27.677050223308207,25.39871011706152,13.155067031961885
validation,historical_average_route_day_type_slot,13,freeze_20260610_192142,baselines_full_20260718,1994,2128,134,0,33.079591318800816,42.9363369526841,28.718904877564626,26.8237625616862,18.23827971455787
validation,historical_average_route_day_type_slot,14,freeze_20260610_192142,baselines_full_20260718,1986,2128,142,0,35.35669811321108,45.623150229210054,29.81926894230174,27.556728614925873,17.039251512049848
validation,historical_average_route_day_type_slot,15,freeze_20260610_192142,baselines_full_20260718,1946,2128,182,0,40.95805300252833,53.39454793155464,30.255934141369266,28.335201319245957,22.299402772339857
validation,historical_average_route_day_type_slot,16,freeze_20260610_192142,baselines_full_20260718,1819,2128,309,0,34.17338603002272,44.13346688027089,31.464938751047754,29.724655796853224,15.422018633340274
validation,historical_average_route_day_type_slot,17,freeze_20260610_192142,baselines_full_20260718,1260,1932,672,0,20.331706722633008,25.754263957885144,36.70623425574638,35.457370893449955,6.184399416034884
validation,historical_average_route_day_type_slot,18,freeze_20260610_192142,baselines_full_20260718,126,792,666,0,9.901344834681474,12.909715950321457,44.84049944168004,43.63656695242623,3.626760942808455
validation,naive,4,freeze_20260610_192142,baselines_full_20260718,384,1424,170,1035,92.33072916666667,102.91419109708178,92.5042735988773,65.66227127935403,-91.09635416666667
validation,naive,5,freeze_20260610_192142,baselines_full_20260718,1795,2128,292,324,63.710306406685234,85.14049997137698,37.70910575679181,33.56983294340741,-30.772144846796657
validation,naive,6,freeze_20260610_192142,baselines_full_20260718,1839,2128,261,273,58.45513866231648,78.39798565289644,31.598317224121526,30.359402182508305,10.603045133224578
validation,naive,7,freeze_20260610_192142,baselines_full_20260718,1928,2128,68,171,49.76452282157676,65.5149012222233,34.57608046256329,34.71260957811296,13.987551867219917
validation,naive,8,freeze_20260610_192142,baselines_full_20260718,2037,2128,54,48,43.06627393225332,55.62122938740674,35.026620418789165,33.06970852998386,2.9494354442808053
validation,naive,9,freeze_20260610_192142,baselines_full_20260718,1989,2128,77,75,40.588738059326296,52.57685126640806,34.8525054030503,33.693792205407306,8.451985922574158
validation,naive,10,freeze_20260610_192142,baselines_full_20260718,2016,2128,61,63,37.18551587301587,48.25745275117353,36.61065718761742,35.15107751748973,5.76984126984127
validation,naive,11,freeze_20260610_192142,baselines_full_20260718,1975,2128,97,73,38.8253164556962,50.91163851919186,38.903809907520525,37.37370291123015,-1.4146835443037975
validation,naive,12,freeze_20260610_192142,baselines_full_20260718,1933,2128,114,109,47.17951370926022,61.07915534612583,40.36905474349534,36.85765439533127,-10.609415416451112
validation,naive,13,freeze_20260610_192142,baselines_full_20260718,1897,2128,134,127,45.00105429625725,57.833240537971115,38.026323599502945,35.35714581555819,1.72008434370058
validation,naive,14,freeze_20260610_192142,baselines_full_20260718,1890,2128,142,136,48.03068783068783,62.7223916372647,39.60451910950707,36.26072507070158,-4.949206349206349
validation,naive,15,freeze_20260610_192142,baselines_full_20260718,1857,2128,182,153,53.7124394184168,69.99116799425327,39.27948462116918,36.02973580216589,-3.4808831448572968
validation,naive,16,freeze_20260610_192142,baselines_full_20260718,1726,2128,309,225,53.0359212050985,68.3271728468756,42.795576836728,44.66019417475729,24.03476245654693
validation,naive,17,freeze_20260610_192142,baselines_full_20260718,1188,1932,672,298,47.754208754208754,60.44347889900234,61.35019924412093,81.85018467220684,39.31649831649832
validation,naive,18,freeze_20260610_192142,baselines_full_20260718,101,792,666,316,25.11881188118812,32.98379440072514,71.99699184111223,116.26947754353804,22.584158415841586
validation,seasonal_naive_daily,4,freeze_20260610_192142,baselines_full_20260718,1013,1424,170,304,34.695952615992105,49.17572294884901,30.290542767714708,29.889192200083343,6.699901283316881
validation,seasonal_naive_daily,5,freeze_20260610_192142,baselines_full_20260718,1582,2128,292,293,65.50758533501896,89.03649516661689,40.80831142128163,35.31165560973283,10.855246523388116
validation,seasonal_naive_daily,6,freeze_20260610_192142,baselines_full_20260718,1639,2128,261,261,67.4496644295302,92.27312430598917,41.97392583506988,35.602374135704466,5.1799877974374615
validation,seasonal_naive_daily,7,freeze_20260610_192142,baselines_full_20260718,1992,2128,68,68,62.96686746987952,79.97318200095224,55.08229540128413,46.269961598477224,0.5512048192771084
validation,seasonal_naive_daily,8,freeze_20260610_192142,baselines_full_20260718,2019,2128,54,55,59.02625061911838,74.49450584898192,53.37240878100707,46.02503350287526,0.946012877662209
validation,seasonal_naive_daily,9,freeze_20260610_192142,baselines_full_20260718,1973,2128,77,79,52.87430309173847,66.47535355687783,51.49078663850409,44.85419945136685,1.0881905727318804
validation,seasonal_naive_daily,10,freeze_20260610_192142,baselines_full_20260718,2006,2128,61,62,48.03888334995015,60.72644314718322,51.94414633704828,46.27485630045091,0.7168494516450648
