route,dia_op,tipo_dia,hora,real,pred_sarima,pred_media
3,2026-04-10,LABORAL,10:00,122.0,108.98160109599654,129.66101694915255
3,2026-04-10,LABORAL,10:30,141.0,76.89975267572207,114.35
3,2026-04-10,LABORAL,11:00,110.0,104.79637734108766,110.10084033613445
3,2026-04-10,LABORAL,11:30,94.0,82.28508664482435,130.5546218487395
3,2026-04-10,LABORAL,12:00,198.0,112.88010581773156,170.425
3,2026-04-10,LABORAL,12:30,109.0,70.94519109479656,137.98305084745763
3,2026-04-10,LABORAL,13:00,135.0,112.29870938157036,138.79166666666666
3,2026-04-10,LABORAL,13:30,178.0,101.45495513322852,133.890756302521
3,2026-04-10,LABORAL,14:00,137.0,79.26430606502167,127.18487394957984
3,2026-04-10,LABORAL,14:30,191.0,108.8080987420048,144.24576271186442
3,2026-04-10,LABORAL,15:00,83.0,88.2012327221142,139.94117647058823
3,2026-04-10,LABORAL,15:30,61.0,94.45573119261253,136.5677966101695
3,2026-04-10,LABORAL,16:00,37.0,84.6195111939736,106.33620689655173
3,2026-04-10,LABORAL,16:30,68.0,72.24101237479536,83.13793103448276
3,2026-04-10,LABORAL,17:00,57.0,60.73271320910556,52.644444444444446
3,2026-04-11,SABADO,04:00,30.0,82.08889886190461,40.04
3,2026-04-11,SABADO,04:30,71.0,73.29916971772839,97.57692307692308
3,2026-04-11,SABADO,05:00,232.0,166.4130811633274,160.76923076923077
3,2026-04-11,SABADO,05:30,148.0,143.4149147408806,146.34615384615384
3,2026-04-11,SABADO,06:00,161.0,197.00339657517807,205.65384615384616
3,2026-04-11,SABADO,06:30,201.0,102.99840127061712,186.8846153846154
3,2026-04-11,SABADO,07:00,141.0,121.51799442427948,129.8846153846154
3,2026-04-11,SABADO,07:30,119.0,113.18517023365457,104.96153846153847
3,2026-04-11,SABADO,08:00,76.0,111.2386847542576,117.5
3,2026-04-11,SABADO,08:30,134.0,107.77853996764738,106.6923076923077
3,2026-04-11,SABADO,09:00,77.0,101.28272151504065,91.84615384615384
3,2026-04-11,SABADO,09:30,89.0,83.06636692077255,89.23076923076923
3,2026-04-11,SABADO,10:00,75.0,97.12732963719033,87.0
3,2026-04-11,SABADO,10:30,121.0,91.84502731890709,76.88461538461539
3,2026-04-11,SABADO,11:00,101.0,91.84270787308894,91.42307692307692
3,2026-04-11,SABADO,11:30,45.0,80.15738765763763,85.68
3,2026-04-11,SABADO,12:00,87.0,117.69777947590141,83.76923076923077
3,2026-04-11,SABADO,12:30,109.0,79.98563598345804,75.73913043478261
3,2026-04-11,SABADO,13:00,25.0,99.88993279502162,73.69565217391305
3,2026-04-11,SABADO,13:30,40.0,107.67056749376304,63.56
3,2026-04-11,SABADO,14:00,82.0,89.24704929314505,67.83333333333333
3,2026-04-11,SABADO,15:00,142.0,112.96489614192146,66.26086956521739
3,2026-04-11,SABADO,16:00,18.0,76.8951065798008,52.89473684210526
3,2026-04-11,SABADO,16:30,29.0,72.64771535181235,50.53846153846154
3,2026-04-12,DOMINGO,08:00,34.0,36.27621917852167,40.875
3,2026-04-12,DOMINGO,08:30,24.0,43.89178583412134,36.3
3,2026-04-12,DOMINGO,09:30,32.0,38.1544156317268,33.0
3,2026-04-12,DOMINGO,10:00,38.0,36.60119898997314,40.09090909090909
3,2026-04-12,DOMINGO,11:00,25.0,43.63576670156131,39.94444444444444
3,2026-04-12,DOMINGO,12:00,28.0,118.02186708995906,35.31818181818182
3,2026-04-12,DOMINGO,13:00,21.0,88.71725137282752,31.72222222222222
3,2026-04-12,DOMINGO,14:00,25.0,110.20462489437361,30.571428571428573
3,2026-04-13,LABORAL,04:00,81.0,40.74358507107688,56.421052631578945
3,2026-04-13,LABORAL,04:30,93.0,40.54970466346692,140.4453781512605
3,2026-04-13,LABORAL,05:00,270.0,34.96572150940854,268.15833333333336
3,2026-04-13,LABORAL,05:30,294.0,23.887396507876385,239.86666666666667
3,2026-04-13,LABORAL,06:00,206.0,38.538695919243274,300.19166666666666
3,2026-04-13,LABORAL,06:30,291.0,21.884048543369715,210.90833333333333
3,2026-04-13,LABORAL,07:00,188.0,19.56283625936666,172.05833333333334
3,2026-04-13,LABORAL,07:30,144.0,20.73381734675614,150.78991596638656
3,2026-04-13,LABORAL,08:00,111.0,31.317897371350725,140.72413793103448
3,2026-04-13,LABORAL,08:30,55.0,26.464219349474877,139.2268907563025
3,2026-04-13,LABORAL,09:00,66.0,8.260800409877971,137.91596638655463
3,2026-04-13,LABORAL,09:30,25.0,31.749725131338078,119.4322033898305
3,2026-04-13,LABORAL,10:00,114.0,25.573757694781406,129.64406779661016
3,2026-04-13,LABORAL,10:30,178.0,10.404796730888664,114.45833333333333
3,2026-04-13,LABORAL,11:00,48.0,17.017116718107562,110.09243697478992
3,2026-04-13,LABORAL,11:30,150.0,22.359371808377656,130.3613445378151
3,2026-04-13,LABORAL,12:00,126.0,46.15797508900716,170.50833333333333
3,2026-04-13,LABORAL,12:30,147.0,2.244044806653062,137.83050847457628
3,2026-04-13,LABORAL,13:00,194.0,4.105658247213594,138.49166666666667
3,2026-04-13,LABORAL,13:30,70.0,2.576860557451271,134.19327731092437
3,2026-04-13,LABORAL,14:00,121.0,1.3877118965303985,127.3109243697479
3,2026-04-13,LABORAL,14:30,121.0,1.5039557684499065,144.45762711864407
3,2026-04-13,LABORAL,15:00,134.0,2.536369378023959,139.63025210084032
3,2026-04-13,LABORAL,15:30,118.0,1.6695380789490162,135.20338983050848
3,2026-04-13,LABORAL,16:00,105.0,26.1529852029579,106.01724137931035
3,2026-04-13,LABORAL,16:30,41.0,14.947968978826859,82.90517241379311
3,2026-04-13,LABORAL,17:00,48.0,22.839971287192103,52.75555555555555
3,2026-04-14,LABORAL,04:00,50.0,93.74222253036494,56.63478260869565
3,2026-04-14,LABORAL,04:30,113.0,103.4886630492949,140.05
3,2026-04-14,LABORAL,05:00,362.0,149.68673054292023,268.1735537190083
3,2026-04-14,LABORAL,05:30,148.0,152.89628445963538,240.31404958677686
3,2026-04-14,LABORAL,06:00,316.0,133.67137543438423,299.41322314049586
3,2026-04-14,LABORAL,06:30,252.0,150.5892413959472,211.5702479338843
3,2026-04-14,LABORAL,07:00,162.0,122.64928446993729,172.1900826446281
3,2026-04-14,LABORAL,07:30,163.0,110.68508059419678,150.73333333333332
3,2026-04-14,LABORAL,08:00,165.0,104.6121749016281,140.47008547008548
3,2026-04-14,LABORAL,08:30,139.0,87.94389206248012,138.525
3,2026-04-14,LABORAL,09:00,105.0,85.211527205573,137.31666666666666
3,2026-04-14,LABORAL,09:30,134.0,80.0360651853315,118.63865546218487
3,2026-04-14,LABORAL,10:00,194.0,101.49362879274899,129.51260504201682
3,2026-04-14,LABORAL,10:30,62.0,112.89135906578159,114.98347107438016
3,2026-04-14,LABORAL,11:00,141.0,80.23395136159573,109.575
3,2026-04-14,LABORAL,11:30,145.0,108.07323706372982,130.525
3,2026-04-14,LABORAL,12:00,188.0,107.60958233921475,170.1404958677686
3,2026-04-14,LABORAL,12:30,141.0,100.52519949912383,137.9075630252101
3,2026-04-14,LABORAL,13:00,89.0,112.77456526772882,138.9504132231405
3,2026-04-14,LABORAL,13:30,188.0,79.53949255898276,133.65833333333333
3,2026-04-14,LABORAL,14:00,39.0,91.98105879756379,127.25833333333334
3,2026-04-14,LABORAL,14:30,142.0,91.57997129748064,144.26050420168067
3,2026-04-14,LABORAL,15:00,105.0,94.69836114728713,139.58333333333334
3,2026-04-14,LABORAL,15:30,163.0,89.6815247955174,135.05882352941177
3,2026-04-14,LABORAL,16:00,87.0,91.53039791290958,106.00854700854701
3,2026-04-14,LABORAL,16:30,83.0,71.50038582988655,82.54700854700855
3,2026-04-14,LABORAL,17:00,36.0,74.64641773988221,52.7032967032967
3,2026-04-14,LABORAL,17:30,10.0,89.04963723895,34.3235294117647
3,2026-04-15,LABORAL,04:00,53.0,76.29518379062455,56.44347826086957
3,2026-04-15,LABORAL,04:30,128.0,168.29194635320985,139.575
3,2026-04-15,LABORAL,05:00,321.0,117.30293953036094,268.8677685950413
3,2026-04-15,LABORAL,05:30,297.0,155.2371321489339,240.89256198347107
3,2026-04-15,LABORAL,06:00,180.0,143.99787427442374,299.2892561983471
3,2026-04-15,LABORAL,06:30,204.0,111.31915206131642,211.88429752066116
3,2026-04-15,LABORAL,07:00,162.0,107.48602861325563,171.44628099173553
3,2026-04-15,LABORAL,07:30,186.0,105.83304857420846,150.875
3,2026-04-15,LABORAL,08:00,171.0,93.34503153134652,140.82051282051282
3,2026-04-15,LABORAL,08:30,175.0,83.06989649035431,138.21666666666667
3,2026-04-15,LABORAL,09:00,140.0,89.13296951362031,136.31666666666666
3,2026-04-15,LABORAL,09:30,146.0,111.03672506880362,118.3109243697479
3,2026-04-15,LABORAL,10:00,87.0,80.39843795814717,129.7310924369748
