route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
1,2026-04-28,LABORAL,26,13.287359,17.032969,28.589055868295524,25.575624759380634,3.01343110891489,-1.711201887864333,-3.0388548924372745,274,320,304,350,1.8391670000273734,1.9091428000247106,0.5205986499786377,0.3215527832508087,0.1125344482585348
1,2026-04-29,LABORAL,26,13.307947,17.032969,20.68785153902494,22.001765911395733,-1.3139143723707924,3.579578106219952,10.6651364839994,254,104,284,134,1.2140018999343738,0.5730267999460921,0.5185165405273438,0.3190619945526123,0.1121586118186987
1,2026-04-30,LABORAL,25,13.205022,16.75824,43.471915283203124,43.849891357421875,-0.37797607421875057,-3.237711181640625,-8.676077270507813,250,385,280,415,1.643301900010556,2.6014948999509215,0.49882543087005615,0.3062670826911926,0.11000816820225155
1,2026-05-01,FESTIVO,17,13.225609,16.75824,10.001256606158089,35.49408183378332,-25.492825227625232,-5.16985096650965,35.337190964642694,270,178,300,208,1.8317741999635473,1.3977381000295281,0.5245683789253235,0.3025948703289032,0.10404750207095993
1,2026-05-02,SABADO,26,13.246191,19.23077,30.498981622549202,25.21594502375676,5.283036598792442,-24.118437106792744,-1.1962811396672175,312,277,342,307,2.3385286000557244,1.96817959996406,0.5328518748283386,0.29856762290000916,0.11770640073912557
1,2026-05-05,LABORAL,25,13.287359,17.532467,35.52392608642578,37.174803771972655,-1.6508776855468739,-8.84810577392578,-11.499267883300782,530,404,560,434,3.0979410000145435,2.4355427999980748,0.5242929458618164,0.31453150510787964,0.11311436506802555
1,2026-05-06,LABORAL,25,13.297653,17.20779,38.4580044555664,41.153545227050785,-2.6955407714843815,18.53292205810547,26.00816864013672,359,314,389,344,1.5376299999188632,1.4485972999827936,0.5291256904602051,0.30176520347595215,0.10597331168208783
1,2026-05-07,LABORAL,27,13.328528,16.558445,23.903495364718967,26.21232718008536,-2.3088318153663927,-1.276070064968533,10.410231413664642,405,283,435,313,2.6464783999836072,1.8318347000749782,0.5366122126579285,0.2140582650899887,0.07335377236086275
1,2026-05-08,LABORAL,26,13.379992,15.909094,33.437295326819786,33.203649227435776,0.2336460993840106,7.015913009643555,2.966960466825045,420,272,450,302,2.415384200052358,1.68477999989409,0.5416332483291626,0.1892368495464325,0.06200104721037399
1,2026-05-09,SABADO,25,13.4005785,15.909094,26.742355194091797,26.037210845947264,0.7051443481445325,-3.677442779541016,-1.758142852783203,270,313,300,343,1.7858792999759316,1.8997321999631822,0.5568885207176208,0.23270060122013092,0.07326259290632454
