route,dia_op,tipo_dia,hora,real,pred_grilla
1,2026-04-13,LABORAL,07:30,206.0,135.84557
1,2026-04-13,LABORAL,08:00,48.0,130.12895
1,2026-04-13,LABORAL,08:30,132.0,134.20018
1,2026-04-13,LABORAL,09:00,151.0,138.64752
1,2026-04-13,LABORAL,09:30,100.0,122.90533
1,2026-04-13,LABORAL,10:00,85.0,100.43838
1,2026-04-13,LABORAL,10:30,74.0,91.35781
1,2026-04-13,LABORAL,11:00,95.0,89.871376
1,2026-04-13,LABORAL,11:30,118.0,86.17356
1,2026-04-13,LABORAL,12:00,86.0,106.9129
1,2026-04-13,LABORAL,12:30,99.0,129.54172
1,2026-04-13,LABORAL,13:00,139.0,125.44659
1,2026-04-13,LABORAL,13:30,115.0,146.92642
1,2026-04-13,LABORAL,14:00,189.0,143.62529
1,2026-04-13,LABORAL,14:30,80.0,140.27228
1,2026-04-13,LABORAL,15:00,211.0,151.20749
1,2026-04-13,LABORAL,15:30,176.0,173.94339
1,2026-04-13,LABORAL,16:00,104.0,157.4516
1,2026-04-13,LABORAL,16:30,131.0,119.77887
1,2026-04-13,LABORAL,17:00,76.0,74.03233
1,2026-04-13,LABORAL,17:30,26.0,34.14495
1,2026-04-14,LABORAL,04:30,71.0,133.08449
1,2026-04-14,LABORAL,05:00,157.0,127.60198
1,2026-04-14,LABORAL,05:30,129.0,149.66658
1,2026-04-14,LABORAL,06:00,151.0,147.45807
1,2026-04-14,LABORAL,06:30,89.0,135.90263
1,2026-04-14,LABORAL,07:00,130.0,142.53813
1,2026-04-14,LABORAL,07:30,179.0,142.48845
1,2026-04-14,LABORAL,08:00,144.0,142.96835
1,2026-04-14,LABORAL,08:30,88.0,141.27013
1,2026-04-14,LABORAL,09:00,144.0,144.36832
1,2026-04-14,LABORAL,09:30,130.0,132.89006
1,2026-04-14,LABORAL,10:00,67.0,105.13572
1,2026-04-14,LABORAL,10:30,141.0,99.64015
1,2026-04-14,LABORAL,11:00,103.0,96.778366
1,2026-04-14,LABORAL,11:30,88.0,98.004555
1,2026-04-14,LABORAL,12:00,146.0,110.91379
1,2026-04-14,LABORAL,12:30,143.0,141.26605
1,2026-04-14,LABORAL,13:00,180.0,132.50194
1,2026-04-14,LABORAL,13:30,62.0,152.17621
1,2026-04-14,LABORAL,14:00,114.0,154.42178
1,2026-04-14,LABORAL,14:30,186.0,154.56956
1,2026-04-14,LABORAL,15:00,131.0,167.67105
1,2026-04-14,LABORAL,15:30,107.0,182.01057
1,2026-04-14,LABORAL,16:00,136.0,156.05728
1,2026-04-14,LABORAL,16:30,110.0,128.77855
1,2026-04-14,LABORAL,17:00,46.0,72.89799
1,2026-04-15,LABORAL,04:30,76.0,127.4267
1,2026-04-15,LABORAL,05:00,81.0,123.477036
1,2026-04-15,LABORAL,05:30,157.0,146.80469
1,2026-04-15,LABORAL,06:00,128.0,144.99858
1,2026-04-15,LABORAL,06:30,99.0,132.01529
1,2026-04-15,LABORAL,07:00,131.0,134.8875
1,2026-04-15,LABORAL,07:30,126.0,136.49844
1,2026-04-15,LABORAL,08:00,93.0,137.08585
1,2026-04-15,LABORAL,08:30,224.0,136.48235
1,2026-04-15,LABORAL,09:00,124.0,139.11356
1,2026-04-15,LABORAL,09:30,114.0,125.85752
1,2026-04-15,LABORAL,10:00,59.0,102.97357
1,2026-04-15,LABORAL,10:30,76.0,94.721725
1,2026-04-15,LABORAL,11:00,95.0,95.65571
1,2026-04-15,LABORAL,11:30,78.0,97.0752
1,2026-04-15,LABORAL,12:00,79.0,106.613716
