route,dia_op,tipo_dia,hora,real,pred_prophet,pred_media
1,2026-04-13,LABORAL,07:00,78.0,119.90574956345304,129.36666666666667
1,2026-04-13,LABORAL,07:30,206.0,121.58137611478786,133.075
1,2026-04-13,LABORAL,08:00,48.0,120.9069363934637,129.72268907563026
1,2026-04-13,LABORAL,08:30,132.0,118.39364377896806,131.0
1,2026-04-13,LABORAL,09:00,151.0,114.77678303270733,136.05882352941177
1,2026-04-13,LABORAL,09:30,100.0,110.88495779979489,119.23333333333333
1,2026-04-13,LABORAL,10:00,85.0,107.54218437222234,98.175
1,2026-04-13,LABORAL,10:30,74.0,105.5046791857372,95.11666666666666
1,2026-04-13,LABORAL,11:00,95.0,105.41638341953427,93.33333333333333
1,2026-04-13,LABORAL,11:30,118.0,107.75943294383194,99.6
1,2026-04-13,LABORAL,12:00,86.0,112.78065919455105,109.98333333333333
1,2026-04-13,LABORAL,12:30,99.0,120.3911056210487,130.00833333333333
1,2026-04-13,LABORAL,13:00,139.0,130.05684033023275,138.65833333333333
1,2026-04-13,LABORAL,13:30,115.0,140.71818920118392,134.34166666666667
1,2026-04-13,LABORAL,14:00,189.0,150.78326005987094,148.76271186440678
1,2026-04-13,LABORAL,14:30,80.0,158.23528608002394,150.40833333333333
1,2026-04-13,LABORAL,15:00,211.0,160.87129844595694,167.15
1,2026-04-13,LABORAL,15:30,176.0,156.65628207528673,173.68067226890756
1,2026-04-13,LABORAL,16:00,104.0,144.1406300599973,141.9327731092437
1,2026-04-13,LABORAL,16:30,131.0,122.85963756747469,114.26666666666667
1,2026-04-13,LABORAL,17:00,76.0,93.62129612529563,71.52727272727273
1,2026-04-13,LABORAL,17:30,26.0,58.59847041602778,36.35849056603774
1,2026-04-14,LABORAL,04:30,71.0,123.49845996629469,114.84297520661157
1,2026-04-14,LABORAL,05:00,157.0,127.09284395272894,116.09166666666667
1,2026-04-14,LABORAL,05:30,129.0,132.38022249935233,133.26446280991735
1,2026-04-14,LABORAL,06:00,151.0,137.62948156609195,131.71074380165288
1,2026-04-14,LABORAL,06:30,89.0,141.4559673256362,132.05785123966942
1,2026-04-14,LABORAL,07:00,130.0,143.0128215121225,128.94214876033058
1,2026-04-14,LABORAL,07:30,179.0,142.032075545267,133.67768595041323
1,2026-04-14,LABORAL,08:00,144.0,138.74337905534517,129.04166666666666
1,2026-04-14,LABORAL,08:30,88.0,133.72261223820487,131.00833333333333
1,2026-04-14,LABORAL,09:00,144.0,127.72788697679093,136.18333333333334
1,2026-04-14,LABORAL,09:30,130.0,121.56752163521818,119.07438016528926
1,2026-04-14,LABORAL,10:00,67.0,116.01972572213094,98.06611570247934
1,2026-04-14,LABORAL,10:30,141.0,111.79638452990157,94.94214876033058
1,2026-04-14,LABORAL,11:00,103.0,109.52313712773854,93.34710743801652
1,2026-04-14,LABORAL,11:30,88.0,109.70179856183609,99.75206611570248
1,2026-04-14,LABORAL,12:00,146.0,112.63116024240352,109.78512396694215
1,2026-04-14,LABORAL,12:30,143.0,118.2849173719246,129.7520661157025
1,2026-04-14,LABORAL,13:00,180.0,126.17307383609716,138.6611570247934
1,2026-04-14,LABORAL,13:30,62.0,135.2357357398077,134.1818181818182
1,2026-04-14,LABORAL,14:00,114.0,143.826765729768,149.10084033613447
1,2026-04-14,LABORAL,14:30,186.0,149.83419544727474,149.82644628099175
1,2026-04-14,LABORAL,15:00,131.0,150.95509339192233,167.51239669421489
1,2026-04-14,LABORAL,15:30,107.0,145.1011523596507,173.7
1,2026-04-14,LABORAL,16:00,136.0,130.86839359839388,141.61666666666667
1,2026-04-14,LABORAL,16:30,110.0,107.97246458582569,114.40495867768595
1,2026-04-14,LABORAL,17:00,46.0,77.5405613468236,71.56756756756756
1,2026-04-15,LABORAL,04:30,76.0,104.34456629053821,114.45454545454545
1,2026-04-15,LABORAL,05:00,81.0,108.20390374075609,116.49166666666666
1,2026-04-15,LABORAL,05:30,157.0,114.08861251723347,133.2396694214876
1,2026-04-15,LABORAL,06:00,128.0,120.1423123758369,131.67768595041323
1,2026-04-15,LABORAL,06:30,99.0,124.86260749780021,131.4297520661157
1,2026-04-15,LABORAL,07:00,131.0,127.31625784897014,128.15702479338842
1,2026-04-15,LABORAL,07:30,126.0,127.19195507907148,134.0909090909091
1,2026-04-15,LABORAL,08:00,93.0,124.71737375915376,129.83333333333334
1,2026-04-15,LABORAL,08:30,224.0,120.49515131796599,130.16666666666666
1,2026-04-15,LABORAL,09:00,124.0,115.32038280456071,136.26666666666668
1,2026-04-15,LABORAL,09:30,114.0,110.03038007086906,118.75206611570248
1,2026-04-15,LABORAL,10:00,59.0,105.4118843700669,98.05785123966942
1,2026-04-15,LABORAL,10:30,76.0,102.16136640867438,94.98347107438016
1,2026-04-15,LABORAL,11:00,95.0,100.870846320629,93.67768595041322
1,2026-04-15,LABORAL,11:30,78.0,102.00262211570251,99.14876033057851
1,2026-04-15,LABORAL,12:00,79.0,105.82432163150405,109.98347107438016
1,2026-04-15,LABORAL,12:30,102.0,112.2979452209236,129.900826446281
1,2026-04-15,LABORAL,13:00,116.0,120.94530480073968,139.01652892561984
1,2026-04-15,LABORAL,13:30,162.0,130.73719984953564,133.48760330578511
1,2026-04-15,LABORAL,14:00,119.0,140.0651199047387,148.92436974789916
1,2026-04-15,LABORAL,14:30,58.0,146.8462132523802,149.98347107438016
1,2026-04-15,LABORAL,15:00,138.0,148.78444569120177,166.95867768595042
1,2026-04-15,LABORAL,15:30,176.0,143.76922868022987,173.43333333333334
1,2026-04-15,LABORAL,16:00,89.0,130.3481275368679,141.14166666666668
1,2026-04-15,LABORAL,16:30,75.0,108.17541923736113,115.0495867768595
1,2026-04-15,LABORAL,17:00,46.0,78.32459813992199,70.92792792792793
1,2026-04-16,LABORAL,04:30,123.0,108.45075629151316,113.93388429752066
1,2026-04-16,LABORAL,05:00,49.0,112.34466248816665,115.81666666666666
1,2026-04-16,LABORAL,05:30,181.0,117.98714089608082,133.72727272727272
1,2026-04-16,LABORAL,06:00,34.0,123.70609986081102,131.01652892561984
1,2026-04-16,LABORAL,06:30,162.0,128.10611098111457,131.05785123966942
1,2026-04-16,LABORAL,07:00,96.0,130.28512724644997,128.3305785123967
1,2026-04-16,LABORAL,07:30,136.0,129.9082156341781,133.96694214876032
1,2026-04-16,LABORAL,08:00,142.0,127.15564006383858,129.65833333333333
1,2026-04-16,LABORAL,08:30,107.0,122.58917548747104,131.225
1,2026-04-16,LABORAL,09:00,115.0,116.99015944024521,135.6
1,2026-04-16,LABORAL,09:30,70.0,111.2150657876619,118.69421487603306
1,2026-04-16,LABORAL,10:00,140.0,106.09401712664116,97.48760330578513
1,2026-04-16,LABORAL,10:30,85.0,102.37278450669245,95.0
1,2026-04-16,LABORAL,11:00,40.0,100.67843634912538,93.39669421487604
1,2026-04-16,LABORAL,11:30,116.0,101.47992743940385,99.32231404958678
1,2026-04-16,LABORAL,12:00,115.0,105.02051166233693,109.50413223140495
1,2026-04-16,LABORAL,12:30,115.0,111.2168899611494,129.6198347107438
1,2026-04-16,LABORAL,13:00,108.0,119.54407839788368,138.9504132231405
1,2026-04-16,LABORAL,13:30,160.0,128.9462968156849,133.2396694214876
1,2026-04-16,LABORAL,14:00,117.0,137.8242389129624,149.21008403361344
1,2026-04-16,LABORAL,14:30,192.0,144.14240676204608,148.89256198347107
1,2026-04-16,LABORAL,15:00,145.0,145.67621651397369,166.62809917355372
1,2026-04-16,LABORAL,15:30,60.0,140.38219215527369,173.225
1,2026-04-16,LABORAL,16:00,207.0,126.83503845669046,140.55
1,2026-04-16,LABORAL,16:30,82.0,104.64399878878325,114.73553719008264
1,2026-04-17,LABORAL,04:30,136.0,108.47900976329859,114.2396694214876
1,2026-04-17,LABORAL,05:00,100.0,111.87341893480357,115.14166666666667
1,2026-04-17,LABORAL,05:30,124.0,117.65612141976649,133.89256198347107
1,2026-04-17,LABORAL,06:00,166.0,123.88158085277792,130.1900826446281
1,2026-04-17,LABORAL,06:30,144.0,128.91060922757637,131.44628099173553
1,2026-04-17,LABORAL,07:30,137.0,131.73474831744397,133.67768595041323
1,2026-04-17,LABORAL,08:00,172.0,129.28449561876678,129.74166666666667
1,2026-04-17,LABORAL,08:30,105.0,124.92750018826132,131.50833333333333
1,2026-04-17,LABORAL,09:00,180.0,119.51259499236956,135.26666666666668
1,2026-04-17,LABORAL,09:30,69.0,113.95168189401073,118.14876033057851
1,2026-04-17,LABORAL,10:00,102.0,109.09815365804386,98.2396694214876
1,2026-04-17,LABORAL,10:30,49.0,105.68432979001848,94.64462809917356
1,2026-04-17,LABORAL,11:00,148.0,104.29702038048535,93.12396694214875
1,2026-04-17,LABORAL,11:30,88.0,105.35703705037749,99.23140495867769
1,2026-04-17,LABORAL,12:00,122.0,109.07167587971679,109.37190082644628
1,2026-04-17,LABORAL,12:30,110.0,115.34748466528515,129.2396694214876
1,2026-04-17,LABORAL,13:00,153.0,123.67741587141069,138.6694214876033
1,2026-04-17,LABORAL,13:30,107.0,133.0420358148251,133.44628099173553
1,2026-04-17,LABORAL,14:00,104.0,141.87894426915744,148.89915966386553
1,2026-04-17,LABORAL,14:30,185.0,148.1710606357613,149.19834710743802
1,2026-04-17,LABORAL,15:00,65.0,149.68134970470575,166.28099173553719
1,2026-04-17,LABORAL,15:30,163.0,144.32341699422943,172.26666666666668
1,2026-04-17,LABORAL,16:00,177.0,130.61391729597128,140.675
1,2026-04-17,LABORAL,16:30,140.0,108.11629430076508,114.96694214876032
1,2026-04-17,LABORAL,17:00,72.0,77.76767980140994,69.99090909090908
1,2026-04-18,SABADO,04:30,63.0,87.37334663624371,75.0
1,2026-04-18,SABADO,05:00,54.0,89.43743932439405,58.12
1,2026-04-18,SABADO,05:30,103.0,93.51764906930028,93.38461538461539
1,2026-04-18,SABADO,06:00,77.0,97.84849052243514,90.26923076923077
1,2026-04-18,SABADO,06:30,86.0,100.92774618239739,108.65384615384616
1,2026-04-18,SABADO,07:00,90.0,101.75847432904722,102.8076923076923
1,2026-04-18,SABADO,07:30,83.0,99.9411471547208,104.34615384615384
1,2026-04-18,SABADO,08:00,103.0,95.62979801311545,100.1923076923077
1,2026-04-18,SABADO,08:30,91.0,89.39553954307077,92.38461538461539
1,2026-04-18,SABADO,09:00,95.0,82.05326559078388,96.5
1,2026-04-18,SABADO,09:30,96.0,74.50160949046413,87.61538461538461
1,2026-04-18,SABADO,10:00,90.0,67.60652721065803,77.03846153846153
1,2026-04-18,SABADO,10:30,84.0,62.13325767423897,90.33333333333333
