route,dia_op,tipo_dia,n,demanda_media,mae_sarima,sesgo_sarima,rango_pred_sarima,rango_real,mae_media,sesgo_media,celdas_sin_media,aic,segundos
1,2026-05-30,SABADO,23,73.34782608695652,33.45030047394777,24.495433028633784,22.831336708890234,120.0,23.73085720517668,8.486940284038583,0,43640.21233272911,9.768069499987178
1,2026-05-31,DOMINGO,9,43.111111111111114,22.52450298517468,11.66321679269813,25.061977458960435,62.0,19.294281858587844,-5.760331241303892,0,43623.78006076398,7.956055900081992
1,2026-06-01,LABORAL,25,114.4,78.78063750563801,-78.78063750563801,20.2035779672288,143.0,31.283288637141077,9.46986006571251,0,43535.98801185966,8.860487599973567
1,2026-06-02,LABORAL,26,118.26923076923077,38.98131370377052,-10.872824443626541,26.192728418279174,162.0,30.772365445800922,3.2590288986657745,0,43513.70930517929,9.30027870007325
1,2026-06-03,LABORAL,25,113.84,29.221755285440896,-22.75637721456318,30.254250621738194,150.0,24.38010028887696,9.581154613083825,0,43493.09233887124,9.221286499989219
1,2026-06-04,LABORAL,26,103.57692307692308,30.176038267535798,7.097686211031218,24.129282049091827,142.0,27.794154501524698,17.53869839403239,0,43438.621554383106,9.215342700015754
1,2026-06-05,LABORAL,26,114.57692307692308,46.930873104223664,-40.26748125641777,17.694064386508558,249.0,27.006827176652315,6.2104250825682685,0,43421.6820098803,10.10668500000611
1,2026-06-06,SABADO,21,84.80952380952381,31.86822523537054,13.68984711335671,34.42446006849988,119.0,25.056898656898657,-4.450586080586079,0,43422.71675973994,10.802542999968864
1,2026-06-07,DOMINGO,17,29.647058823529413,40.298064593998504,40.298064593998504,21.550647196388248,52.0,10.355925852048458,4.899712588711089,0,43374.73478959352,10.047632899950258
1,2026-06-08,FESTIVO_PUENTE,8,24.625,5.7903674392354745,1.1544709273326252,15.159853422889622,38.0,15.59375,7.218749999999999,0,43353.18652528897,11.958131899940781
1,2026-06-09,LABORAL,25,114.64,98.89527330441945,-98.89527330441945,14.678720650297695,137.0,26.318823674276317,8.083542772171887,0,43298.78821796375,9.57156519999262
1,2026-06-10,LABORAL,24,91.83333333333333,35.665058195225555,22.508680494363265,25.51774066561336,130.0,42.339035197774606,31.52473781215369,0,43294.944778722565,11.603846600046381
3,2026-04-02,FESTIVO,19,31.0,60.18346979730087,60.18346979730087,66.16389390990008,51.0,61.93377202925699,47.354824660835945,10,48279.59072810126,11.725137699977495
3,2026-04-03,FESTIVO,11,21.818181818181817,19.315352890866524,-0.027063323078373648,40.85575049754476,34.0,10.515151515151514,8.212121212121211,0,48190.750616211386,10.475182299967855
3,2026-04-04,SABADO,23,60.17391304347826,38.60435731166468,-38.36829852099534,29.531137302766915,82.0,43.75151783943844,41.6991694317025,0,48012.782315283475,12.821769900037907
3,2026-04-05,DOMINGO,11,27.181818181818183,25.84382747955763,25.84382747955763,26.21116663820178,21.0,8.666173255865067,7.643445983137794,0,47955.805901596075,12.331848499947228
3,2026-04-06,LABORAL,27,146.85185185185185,125.95402177604876,-125.91481815732465,30.57138609531859,287.0,29.864274893669283,-1.4899831577425386,0,47861.37603623756,10.928558600018732
3,2026-04-07,LABORAL,26,163.5,55.595147479354054,-44.70343124173079,84.56108026364645,316.0,37.359920678252486,-14.080041790005563,0,47883.6797204289,11.325978999957442
3,2026-04-08,LABORAL,27,146.40740740740742,41.90257749679491,-9.74629903133177,108.94652059649329,295.0,33.22068594798877,-0.5851297915214348,0,47864.89481930843,10.629897899925709
3,2026-04-09,LABORAL,27,139.2962962962963,52.94209765637433,-37.754775114923554,109.84140938921757,310.0,35.43687471352355,6.502997919190216,0,47851.26920331993,9.516495399991982
3,2026-04-10,LABORAL,27,143.03703703703704,52.17002049671693,-41.01146695277854,106.17273640246373,379.0,35.605342317211246,2.614109089560961,0,47897.88070640791,12.745853699976578
3,2026-04-11,SABADO,24,98.04166666666667,33.84304181957612,7.010769822789008,124.35568122336572,214.0,26.61532603806059,-0.013947466212912355,0,47904.11214033648,17.180442399927415
3,2026-04-12,DOMINGO,8,28.375,36.41259146413977,36.06289121163306,81.74564791143739,17.0,7.602773268398268,7.602773268398268,0,47868.4667122848,10.453291300102137
3,2026-04-13,LABORAL,27,131.07407407407408,111.5689970346911,-111.06901739533272,44.77026319247676,269.0,38.514439448942824,14.481444805286314,0,47761.622361405396,10.05180990009103
3,2026-04-14,LABORAL,28,140.07142857142858,58.7858061959127,-37.46352455214009,81.39589862974883,352.0,31.218860049732232,1.3937835071423212,0,47893.43087961608,9.942271500010975
3,2026-04-15,LABORAL,27,134.66666666666666,51.368789793621964,-37.706518441669886,116.03153795916165,293.0,30.02139591305806,10.59211613163924,0,47905.49193857821,14.95012749999296
3,2026-04-16,LABORAL,27,130.37037037037038,44.48688254536592,-32.61469788336362,109.45262871647893,284.0,28.383345832805908,14.66075531511735,0,47901.231156622765,19.793177900020964
3,2026-04-17,LABORAL,26,145.0,46.678702162854286,-42.337664698200754,101.0989479232496,240.0,28.29939639198063,0.5535243963863002,0,47889.73925353645,27.598861299920827
3,2026-04-18,SABADO,25,83.96,43.96987176785923,30.357627864264035,99.76776621612835,196.0,22.346416000170688,12.641421128375818,0,47904.564327408065,29.28878679999616
3,2026-04-19,DOMINGO,11,31.636363636363637,34.45758536721129,24.985889662732085,69.52265027536815,29.0,8.170267911415165,1.9495468166531502,0,47864.289874416674,30.142399900010787
3,2026-04-20,LABORAL,27,135.85185185185185,121.21758846377789,-121.21758846377789,26.747863164443647,251.0,32.551231795366256,8.90459006152512,0,47760.6971097806,13.914941299939528
3,2026-04-21,LABORAL,27,147.92592592592592,56.50396591819381,-33.34085777882711,78.80616896489965,330.0,31.844276316756496,-4.881518353105973,0,47759.806944978016,26.98148570000194
3,2026-04-22,LABORAL,27,130.1851851851852,40.18875448447071,-20.847731445645664,112.34404365332891,483.0,37.895158274650676,14.197045426610341,0,47748.35617661476,26.414485799963586
3,2026-04-23,LABORAL,22,130.1818181818182,49.41549738301546,-33.91276532534211,150.61710912650346,256.0,30.291478060027842,19.914521432147534,0,47791.97838147223,20.185684299911372
3,2026-04-24,LABORAL,25,131.08,61.00853242748733,-39.13192992635401,88.33660373474933,290.0,39.99218988152529,17.4270488799244,0,47750.76453438679,43.099203400081024
3,2026-04-25,SABADO,23,96.30434782608695,36.82356861056172,-0.15823702167169126,77.31411785117044,181.0,20.59227398310574,2.878811717582983,0,47752.88088325261,26.976944699999876
3,2026-04-26,DOMINGO,10,30.8,39.44333850169872,39.44333850169872,61.99269298680609,25.0,7.6988853163483,4.137120610465947,0,47753.62991975897,27.932861299952492
3,2026-04-27,LABORAL,28,137.32142857142858,115.94666539061207,-115.94666539061207,43.46370361953308,371.0,33.73994331908481,2.582828956051034,0,47704.50946968881,28.48527009994723
3,2026-04-28,LABORAL,27,136.25925925925927,51.736071470492845,-38.92272187387363,109.78984488301626,324.0,30.053047414546,7.538555820617969,0,47738.50445536671,25.437291500042193
3,2026-04-29,LABORAL,26,149.84615384615384,47.439711851535144,-39.680733928585695,102.04302718603834,383.0,33.5521540180543,-2.662498787294245,0,47746.998501402704,27.99822219996713
3,2026-04-30,LABORAL,27,146.40740740740742,46.894796344034134,-28.30243628605868,134.8914934959173,322.0,32.321454458887864,-2.862374998263547,0,47760.96389234616,26.23974079999607
3,2026-05-01,FESTIVO,18,33.44444444444444,82.96572246729545,82.96572246729545,106.01838483434487,54.0,17.083333333333332,-8.935185185185185,0,47770.41294652228,28.84473359992262
3,2026-05-02,SABADO,26,81.76923076923077,63.42444547025228,-61.2314261912253,50.8258712349359,172.0,26.164813755744927,11.685774845936786,0,47676.636960209114,24.06569740001578
3,2026-05-03,DOMINGO,8,28.5,45.26083855285893,45.26083855285893,39.47410867353418,24.0,8.041991851565188,5.963866851565188,0,47679.478584375516,26.956571000046097
3,2026-05-04,LABORAL,27,141.85185185185185,119.42193850840368,-119.42193850840368,28.620000662672155,276.0,28.60189475558244,1.6162347361532443,0,47501.84056059244,25.383234100067057
3,2026-05-05,LABORAL,27,140.77777777777777,50.12014563819724,-20.69336782417742,81.05557023330496,255.0,37.81204652322209,2.67908763552086,0,47591.5737930975,25.000700799981132
3,2026-05-06,LABORAL,23,124.21739130434783,39.79642729969783,-7.5267308959799655,89.36619597924128,239.0,36.72034492383948,24.365341154455336,0,47606.14895650281,29.389034899999388
3,2026-05-07,LABORAL,26,142.46153846153845,74.50115626065951,-53.035703635611554,81.79260843955649,252.0,31.09111304061182,3.8924437737298825,0,47541.16170940532,19.306300099939108
3,2026-05-08,LABORAL,26,136.73076923076923,45.59417338494981,-21.14098535504194,67.0273045790539,297.0,31.328928567868154,9.492588892175036,0,47573.43266787819,10.89187839999795
3,2026-05-09,SABADO,25,91.72,34.104298701702625,14.025853365433647,95.28035733635043,184.0,17.97854540547172,0.6068018157281321,0,47575.0530420352,11.406136099947616
3,2026-05-10,DOMINGO,9,36.0,26.087104762373446,23.088360342257616,68.67200740673312,49.0,11.680584035847193,-2.900132461277972,0,47531.51335729129,13.624644399969839
3,2026-05-11,LABORAL,26,135.73076923076923,114.99255884435078,-114.69973636580471,32.41016538663272,275.0,44.327964367445695,10.20938602423809,0,47440.40617479619,12.218353000003844
3,2026-05-12,LABORAL,27,145.25925925925927,60.40721007183474,-39.20620538044659,78.19862112641118,326.0,35.775514201995534,-3.023807105383424,0,47471.203866438096,11.070317000034265
3,2026-05-13,LABORAL,26,138.6153846153846,50.02449393959504,-22.257223668146544,102.04111049251945,300.0,40.577242282580315,7.046052327951525,0,47474.67179616807,12.257553600007668
3,2026-05-14,LABORAL,27,134.88888888888889,41.49023654008983,-25.727499086800623,94.31882970428718,284.0,30.822459241739633,7.181086337695171,0,47464.67665408901,10.987551900092512
3,2026-05-15,LABORAL,27,140.11111111111111,47.35059422051008,-33.410635523498065,95.9108583886919,252.0,28.436889125671502,1.946495284831046,0,47471.767374719995,11.56429000000935
