route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
3,2026-04-09,LABORAL,10:00,170.0,119.780914,129.51694915254237
3,2026-04-09,LABORAL,10:30,38.0,123.41977,115.14166666666667
3,2026-04-09,LABORAL,11:00,172.0,117.96498,109.70588235294117
3,2026-04-09,LABORAL,11:30,78.0,123.322,130.71428571428572
3,2026-04-09,LABORAL,12:00,159.0,139.50531,170.31666666666666
3,2026-04-09,LABORAL,12:30,43.0,119.502686,138.5084745762712
3,2026-04-09,LABORAL,13:00,169.0,128.70287,138.81666666666666
3,2026-04-09,LABORAL,13:30,141.0,127.86874,134.10084033613447
3,2026-04-09,LABORAL,14:00,81.0,114.18584,127.05042016806723
3,2026-04-09,LABORAL,14:30,162.0,122.52794,144.40677966101694
3,2026-04-09,LABORAL,15:00,126.0,118.86884,141.08403361344537
3,2026-04-09,LABORAL,15:30,144.0,114.298065,136.33898305084745
3,2026-04-09,LABORAL,16:00,93.0,111.30181,106.46551724137932
3,2026-04-09,LABORAL,16:30,78.0,84.4827,83.18260869565218
3,2026-04-09,LABORAL,17:00,41.0,47.193054,53.27777777777778
3,2026-04-10,LABORAL,04:00,93.0,64.94453,56.473684210526315
3,2026-04-10,LABORAL,04:30,50.0,140.46138,140.8655462184874
3,2026-04-10,LABORAL,05:00,298.0,201.3603,268.4166666666667
3,2026-04-10,LABORAL,05:30,229.0,202.5408,240.175
3,2026-04-10,LABORAL,06:00,416.0,232.12039,299.2
3,2026-04-10,LABORAL,06:30,134.0,180.40544,211.98333333333332
3,2026-04-10,LABORAL,07:00,192.0,158.92072,172.25
3,2026-04-10,LABORAL,07:30,153.0,146.71292,150.7563025210084
3,2026-04-10,LABORAL,08:00,186.0,128.17043,139.97413793103448
3,2026-04-10,LABORAL,08:30,170.0,132.04985,138.890756302521
3,2026-04-10,LABORAL,09:00,142.0,127.53316,137.91596638655463
3,2026-04-10,LABORAL,09:30,78.0,122.86873,119.86440677966101
3,2026-04-10,LABORAL,10:00,122.0,123.07611,129.66101694915255
3,2026-04-10,LABORAL,10:30,141.0,113.12141,114.35
3,2026-04-10,LABORAL,11:00,110.0,124.02326,110.10084033613445
3,2026-04-10,LABORAL,11:30,94.0,115.73157,130.5546218487395
3,2026-04-10,LABORAL,12:00,198.0,145.77899,170.425
3,2026-04-10,LABORAL,12:30,109.0,118.47703,137.98305084745763
3,2026-04-10,LABORAL,13:00,135.0,133.32036,138.79166666666666
3,2026-04-10,LABORAL,13:30,178.0,125.98996,133.890756302521
3,2026-04-10,LABORAL,14:00,137.0,122.63651,127.18487394957984
3,2026-04-10,LABORAL,14:30,191.0,125.387566,144.24576271186442
3,2026-04-10,LABORAL,15:00,83.0,128.45325,139.94117647058823
3,2026-04-10,LABORAL,15:30,61.0,122.32993,136.5677966101695
3,2026-04-10,LABORAL,16:00,37.0,109.709076,106.33620689655173
3,2026-04-10,LABORAL,16:30,68.0,77.067474,83.13793103448276
3,2026-04-10,LABORAL,17:00,57.0,42.033066,52.644444444444446
3,2026-04-11,SABADO,04:00,30.0,51.639248,40.04
3,2026-04-11,SABADO,04:30,71.0,82.54577,97.57692307692308
3,2026-04-11,SABADO,05:00,232.0,138.12625,160.76923076923077
3,2026-04-11,SABADO,05:30,148.0,124.24301,146.34615384615384
3,2026-04-11,SABADO,06:00,161.0,154.28758,205.65384615384616
3,2026-04-11,SABADO,06:30,201.0,122.15331,186.8846153846154
3,2026-04-11,SABADO,07:00,141.0,118.621544,129.8846153846154
3,2026-04-11,SABADO,07:30,119.0,103.20799,104.96153846153847
3,2026-04-11,SABADO,08:00,76.0,102.594864,117.5
3,2026-04-11,SABADO,08:30,134.0,93.82197,106.6923076923077
3,2026-04-11,SABADO,09:00,77.0,88.39544,91.84615384615384
3,2026-04-11,SABADO,09:30,89.0,77.03734,89.23076923076923
3,2026-04-11,SABADO,10:00,75.0,91.197205,87.0
3,2026-04-11,SABADO,10:30,121.0,76.35267,76.88461538461539
3,2026-04-11,SABADO,11:00,101.0,87.76536,91.42307692307692
3,2026-04-11,SABADO,11:30,45.0,74.93399,85.68
3,2026-04-11,SABADO,12:00,87.0,91.33994,83.76923076923077
3,2026-04-11,SABADO,12:30,109.0,75.98076,75.73913043478261
3,2026-04-11,SABADO,13:00,25.0,70.203415,73.69565217391305
3,2026-04-11,SABADO,13:30,40.0,73.20923,63.56
3,2026-04-11,SABADO,14:00,82.0,76.94683,67.83333333333333
3,2026-04-11,SABADO,15:00,142.0,61.365288,66.26086956521739
3,2026-04-11,SABADO,16:00,18.0,55.33591,52.89473684210526
3,2026-04-11,SABADO,16:30,29.0,50.506542,50.53846153846154
3,2026-04-12,DOMINGO,08:00,34.0,33.116882,40.875
3,2026-04-12,DOMINGO,08:30,24.0,35.20427,36.3
3,2026-04-12,DOMINGO,09:30,32.0,27.527004,33.0
3,2026-04-12,DOMINGO,10:00,38.0,33.976494,40.09090909090909
3,2026-04-12,DOMINGO,11:00,25.0,33.7148,39.94444444444444
3,2026-04-12,DOMINGO,12:00,28.0,28.017466,35.31818181818182
3,2026-04-12,DOMINGO,13:00,21.0,35.358994,31.72222222222222
3,2026-04-12,DOMINGO,14:00,25.0,28.311705,30.571428571428573
3,2026-04-13,LABORAL,04:00,81.0,53.151382,56.421052631578945
3,2026-04-13,LABORAL,04:30,93.0,153.2267,140.4453781512605
3,2026-04-13,LABORAL,05:00,270.0,276.64703,268.15833333333336
3,2026-04-13,LABORAL,05:30,294.0,243.03554,239.86666666666667
3,2026-04-13,LABORAL,06:00,206.0,255.32611,300.19166666666666
3,2026-04-13,LABORAL,06:30,291.0,259.04837,210.90833333333333
3,2026-04-13,LABORAL,07:00,188.0,188.01704,172.05833333333334
3,2026-04-13,LABORAL,07:30,144.0,149.42386,150.78991596638656
3,2026-04-13,LABORAL,08:00,111.0,136.35822,140.72413793103448
3,2026-04-13,LABORAL,08:30,55.0,127.31437,139.2268907563025
3,2026-04-13,LABORAL,09:00,66.0,132.98424,137.91596638655463
3,2026-04-13,LABORAL,09:30,25.0,126.69272,119.4322033898305
3,2026-04-13,LABORAL,10:00,114.0,128.176,129.64406779661016
3,2026-04-13,LABORAL,10:30,178.0,123.13421,114.45833333333333
3,2026-04-13,LABORAL,11:00,48.0,127.32282,110.09243697478992
3,2026-04-13,LABORAL,11:30,150.0,123.371284,130.3613445378151
3,2026-04-13,LABORAL,12:00,126.0,154.52632,170.50833333333333
3,2026-04-13,LABORAL,12:30,147.0,131.42738,137.83050847457628
3,2026-04-13,LABORAL,13:00,194.0,133.77367,138.49166666666667
3,2026-04-13,LABORAL,13:30,70.0,129.48965,134.19327731092437
3,2026-04-13,LABORAL,14:00,121.0,128.2957,127.3109243697479
3,2026-04-13,LABORAL,14:30,121.0,130.58138,144.45762711864407
3,2026-04-13,LABORAL,15:00,134.0,131.35739,139.63025210084032
3,2026-04-13,LABORAL,15:30,118.0,131.49611,135.20338983050848
3,2026-04-13,LABORAL,16:00,105.0,116.41619,106.01724137931035
3,2026-04-13,LABORAL,16:30,41.0,95.18887,82.90517241379311
3,2026-04-13,LABORAL,17:00,48.0,48.222473,52.75555555555555
3,2026-04-14,LABORAL,04:00,50.0,48.080875,56.63478260869565
3,2026-04-14,LABORAL,04:30,113.0,142.30095,140.05
3,2026-04-14,LABORAL,05:00,362.0,275.60635,268.1735537190083
3,2026-04-14,LABORAL,05:30,148.0,265.18958,240.31404958677686
3,2026-04-14,LABORAL,06:00,316.0,306.69626,299.41322314049586
3,2026-04-14,LABORAL,06:30,252.0,225.72237,211.5702479338843
3,2026-04-14,LABORAL,07:00,162.0,211.1302,172.1900826446281
3,2026-04-14,LABORAL,07:30,163.0,151.30513,150.73333333333332
3,2026-04-14,LABORAL,08:00,165.0,136.89217,140.47008547008548
3,2026-04-14,LABORAL,08:30,139.0,145.81996,138.525
3,2026-04-14,LABORAL,09:00,105.0,123.96674,137.31666666666666
3,2026-04-14,LABORAL,09:30,134.0,128.27037,118.63865546218487
3,2026-04-14,LABORAL,10:00,194.0,133.11687,129.51260504201682
3,2026-04-14,LABORAL,10:30,62.0,128.38014,114.98347107438016
3,2026-04-14,LABORAL,11:00,141.0,128.84532,109.575
3,2026-04-14,LABORAL,11:30,145.0,144.6884,130.525
3,2026-04-14,LABORAL,12:00,188.0,164.20204,170.1404958677686
3,2026-04-14,LABORAL,12:30,141.0,140.87373,137.9075630252101
3,2026-04-14,LABORAL,13:00,89.0,142.2457,138.9504132231405
3,2026-04-14,LABORAL,13:30,188.0,127.37763,133.65833333333333
3,2026-04-14,LABORAL,14:00,39.0,149.19543,127.25833333333334
3,2026-04-14,LABORAL,14:30,142.0,140.8438,144.26050420168067
3,2026-04-14,LABORAL,15:00,105.0,137.11295,139.58333333333334
3,2026-04-14,LABORAL,15:30,163.0,136.01491,135.05882352941177
3,2026-04-14,LABORAL,16:00,87.0,107.85081,106.00854700854701
3,2026-04-14,LABORAL,16:30,83.0,87.95761,82.54700854700855
3,2026-04-14,LABORAL,17:00,36.0,49.870186,52.7032967032967
3,2026-04-14,LABORAL,17:30,10.0,38.51862,34.3235294117647
3,2026-04-15,LABORAL,04:00,53.0,60.91276,56.44347826086957
3,2026-04-15,LABORAL,04:30,128.0,130.20882,139.575
3,2026-04-15,LABORAL,05:00,321.0,286.8723,268.8677685950413
3,2026-04-15,LABORAL,05:30,297.0,241.82973,240.89256198347107
3,2026-04-15,LABORAL,06:00,180.0,300.72748,299.2892561983471
3,2026-04-15,LABORAL,06:30,204.0,193.07008,211.88429752066116
3,2026-04-15,LABORAL,07:00,162.0,165.52116,171.44628099173553
3,2026-04-15,LABORAL,07:30,186.0,146.58482,150.875
3,2026-04-15,LABORAL,08:00,171.0,141.5339,140.82051282051282
3,2026-04-15,LABORAL,08:30,175.0,138.2456,138.21666666666667
3,2026-04-15,LABORAL,09:00,140.0,122.04171,136.31666666666666
3,2026-04-15,LABORAL,09:30,146.0,124.26821,118.3109243697479
3,2026-04-15,LABORAL,10:00,87.0,129.5404,129.7310924369748
3,2026-04-15,LABORAL,10:30,62.0,129.36797,114.47107438016529
