route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-09,LABORAL,05:30,110.0,126.926025,126.926025390625,143.42561983471074
1,2026-04-09,LABORAL,06:00,147.0,128.34442,128.34442138671875,145.02479338842974
1,2026-04-09,LABORAL,06:30,99.0,128.11873,128.1187286376953,133.8423236514523
1,2026-04-09,LABORAL,07:00,153.0,126.69116,126.691162109375,132.77272727272728
1,2026-04-09,LABORAL,07:30,147.0,123.3475,123.34750366210938,137.69834710743802
1,2026-04-09,LABORAL,08:00,103.0,119.720955,119.72095489501953,135.94605809128632
1,2026-04-09,LABORAL,08:30,178.0,116.27449,116.27449035644531,138.07883817427387
1,2026-04-09,LABORAL,09:00,140.0,113.358894,113.35889434814453,135.9792531120332
1,2026-04-09,LABORAL,09:30,86.0,110.98519,110.98519134521484,123.29338842975207
1,2026-04-09,LABORAL,10:00,78.0,109.19618,109.19618225097656,104.36776859504133
1,2026-04-09,LABORAL,10:30,37.0,108.21855,108.21855163574219,97.89256198347107
1,2026-04-09,LABORAL,11:00,148.0,108.672066,108.67206573486328,94.80578512396694
1,2026-04-09,LABORAL,11:30,69.0,112.28328,112.28327941894531,101.82644628099173
1,2026-04-09,LABORAL,12:00,84.0,116.31553,116.3155288696289,112.4297520661157
1,2026-04-09,LABORAL,12:30,140.0,120.699814,120.69981384277344,136.26970954356847
1,2026-04-09,LABORAL,13:00,160.0,125.36113,125.36112976074219,136.8801652892562
1,2026-04-09,LABORAL,13:30,85.0,130.21971,130.21971130371094,147.22314049586777
1,2026-04-09,LABORAL,14:00,111.0,135.00911,135.0091094970703,152.02916666666667
1,2026-04-09,LABORAL,14:30,168.0,138.89742,138.8974151611328,158.5909090909091
1,2026-04-09,LABORAL,15:00,189.0,138.12892,138.12892150878906,179.4090909090909
1,2026-04-09,LABORAL,15:30,129.0,130.24002,130.24002075195312,182.46473029045643
1,2026-04-09,LABORAL,16:00,109.0,119.09236,119.09236145019531,152.76348547717842
