route,dia_op,tipo_dia,regimen,semanas_entrenamiento,n,demanda_media,filas_ajuste,arboles,mae,sesgo
3,2026-04-05,DOMINGO,ordinario,52,11,27.181818181818183,8663,91,7.681124427101829,6.158514369617809
3,2026-04-05,DOMINGO,ordinario,999,11,27.181818181818183,17801,238,8.50187128240412,7.204509388316762
3,2026-04-06,LABORAL,ordinario,8,27,146.85185185185185,1030,97,28.139354847095632,-11.544100443522135
3,2026-04-06,LABORAL,ordinario,13,27,146.85185185185185,1879,235,30.798657381976092,-11.99079958597819
3,2026-04-06,LABORAL,ordinario,26,27,146.85185185185185,4076,90,29.06755221331561,-5.363959559687862
3,2026-04-06,LABORAL,ordinario,52,27,146.85185185185185,8664,108,27.863812340630425,1.9601003858778212
3,2026-04-06,LABORAL,ordinario,999,27,146.85185185185185,17818,177,30.61455323961046,9.30918418036567
3,2026-04-07,LABORAL,ordinario,8,26,163.5,1021,151,42.868254734919624,-15.513939784123348
3,2026-04-07,LABORAL,ordinario,13,26,163.5,1870,87,43.115559357863205,-18.40117835998535
3,2026-04-07,LABORAL,ordinario,26,26,163.5,4067,87,41.55553715045635,-12.22380256652832
3,2026-04-07,LABORAL,ordinario,52,26,163.5,8654,122,39.049225293673004,-5.194964042076697
3,2026-04-07,LABORAL,ordinario,999,26,163.5,17836,119,37.67414929316594,-0.7643947601318359
3,2026-04-08,LABORAL,ordinario,8,27,146.40740740740742,1020,182,33.13920282434534,-8.183805960196036
3,2026-04-08,LABORAL,ordinario,13,27,146.40740740740742,1871,183,31.47045644124349,-8.679517675329137
3,2026-04-08,LABORAL,ordinario,26,27,146.40740740740742,4066,156,32.18436177571615,-6.181261698404948
3,2026-04-08,LABORAL,ordinario,52,27,146.40740740740742,8653,100,35.037951716670285,0.23590003119574654
3,2026-04-08,LABORAL,ordinario,999,27,146.40740740740742,17863,120,36.92026279590748,6.181835739700882
3,2026-04-09,LABORAL,ordinario,8,27,139.2962962962963,1017,243,43.75406844527633,-8.930339106807002
3,2026-04-09,LABORAL,ordinario,13,27,139.2962962962963,1869,165,42.305810151276766,-11.055189627188224
3,2026-04-09,LABORAL,ordinario,26,27,139.2962962962963,4063,97,41.2461701852304,-8.420357174343533
3,2026-04-09,LABORAL,ordinario,52,27,139.2962962962963,8650,110,37.634659661187065,1.2253135398582176
3,2026-04-09,LABORAL,ordinario,999,27,139.2962962962963,17887,125,40.78270071524161,10.828189143428096
3,2026-04-10,LABORAL,ordinario,8,27,143.03703703703704,1016,138,47.68574481540256,-14.19877638640227
3,2026-04-10,LABORAL,ordinario,13,27,143.03703703703704,1869,249,41.283261899594905,-11.34797951027199
3,2026-04-10,LABORAL,ordinario,26,27,143.03703703703704,4065,156,41.85119600649233,-10.991696110478154
3,2026-04-10,LABORAL,ordinario,52,27,143.03703703703704,8650,102,38.911043379041885,-2.723284544768157
3,2026-04-10,LABORAL,ordinario,999,27,143.03703703703704,17914,127,39.24215952555338,7.952071860984519
3,2026-04-11,SABADO,ordinario,8,24,98.04166666666667,1016,271,30.81425428390503,-8.748490492502848
3,2026-04-11,SABADO,ordinario,13,24,98.04166666666667,1870,318,29.182514190673828,-10.840304692586264
3,2026-04-11,SABADO,ordinario,26,24,98.04166666666667,4065,132,30.374652067820232,-8.799522558848063
3,2026-04-11,SABADO,ordinario,52,24,98.04166666666667,8649,149,26.916778405507404,-4.665850798288981
3,2026-04-11,SABADO,ordinario,999,24,98.04166666666667,17941,127,29.08831326166789,3.503945509592692
3,2026-04-12,DOMINGO,ordinario,8,8,28.375,1017,211,7.223119735717773,4.048709869384766
3,2026-04-12,DOMINGO,ordinario,13,8,28.375,1870,161,7.2358245849609375,5.50911283493042
3,2026-04-12,DOMINGO,ordinario,26,8,28.375,4063,112,5.873356819152832,3.528451919555664
